receptor,smiles,vina
ADRB2,O=C(O)CC=C1C[C@@H](OCNc2cc3c(cc2F)CCCC3)CCO1,-9.60
ADRB2,CC(C)(C)c1ccc(O)c(NCCN2CCNCC2=O)c1,-7.90
ADRB2,COc1cc(NCC[C@H](N)C(C)C)c(C(F)(F)F)cc1O,-8.40
ADRB2,CC(C)(C)CCNc1cc(CC(=O)O)ccc1O,-8.40
ADRB2,C1=CC[C@H](CNc2cccc(C3=CN=CC3)c2)CCC1,-9.60
ADRB2,CCCCNCCc1cccc(C(=O)NC)c1,-7.90
ADRB2,N[C@H]1CCC[C@@H]1c1ccc(F)cc1C=CCN1NCC[C@H]2CNN=C21,-9.00
ADRB2,N[C@H]1CCC[C@@H]1c1ccc(F)cc1C=CCN1NCC=C2CNN=C21,-8.20
ADRB2,CC(C)(C)CCNc1cc(CC(N)=O)ccc1O,-8.70
ADRB2,C[C@@]1(c2ccccc2)CCCN1CCCOc1cccc(CC(=O)O)c1,-9.50
ADRB2,Oc1ccc(-c2cncc(-c3ccccc3F)c2)cc1F,-9.00
ADRB2,CNC(=O)CCc1ccc(O)c(-c2cc(C)c3cc(C)c(C)cc3n2)c1,-10.20
ADRB2,C[C@@]1(c2ccccc2)CC=CN1CCCOc1cccc(CC(=O)O)c1,-9.70
ADRB2,Oc1ccc(-c2cc(-c3ccccc3)nnn2)cc1,-8.50
ADRB2,O=C(CNC1=CC(F)=C=CC1)NC(=O)NCCc1ccccc1,-9.50
ADRB2,NC(=O)NCCc1conc1CCNc1ccccc1F,-9.20
ADRB2,COc1ccc2c3c(ccc2c1)CCN(C)C3,-7.80
ADRB2,Cc1ccc2c(CC(=O)CN)cc3c4c(ccc3c2c1)CCN(C)C4,-8.10
ADRB2,NC(=O)Nc1cccc2cnc(NCc3ccccc3)cc12,-10.20
ADRB2,O=C(NC1CCNCC1)[C@H]1C=Cc2ccc(O)cc2C1,-7.90
ADRB2,CC[C@@H](C)[C@@H](O)CCNc1cc(OC)c(O)cc1C(F)(F)F,-8.20
ADRB2,CC1(C)CCN[C@@H](CCOc2cccc([C@@H]3CN=C(N)N3)c2)C1,-9.60
ADRB2,CN(CCCOc1cccc(CC(=O)O)c1)Cc1ccccc1F,-9.50
ADRB2,C[C@H](CO)CCCc1cc(=O)[nH]c(C2=CC(=O)C(Cc3cccc(F)c3)=C2)n1,-9.80
ADRB2,Cc1cc(O)c(C(N)=O)cc1NCCC(=O)N1CCCCC1,-9.00
ADRB2,CNCc1cccc(OCCCNC(C)=O)c1,-7.90
ADRB2,CN1CCN(C2=NN=C(c3ccccc3)C2)C1=O,-7.50
ADRB2,O=C(CNc1cc(F)cc(F)c1F)NC(=O)NCCc1ccccc1,-10.20
ADRB2,CNc1ncnc2ccc(O[C@@H]3CC[C@@]4(CCc5cccc(C)c54)OC3)cc12,-10.40
ADRB2,C[C@@H](O)C(F)(F)c1ccc(O)c(NCCN2Cc3ccccc3CC2=O)c1,-10.60
ADRB2,c1ccc(C2=NNN=C(N3CCNCC3)C2)cc1,-8.60
ADRB2,CCCCCCCCCC(=O)NC(=O)c1cccc(OC)c1,-8.60
ADRB2,Cc1cc2nc(-c3cc(Cl)ccc3O)sc2cn1,-7.90
ADRB2,COC(=O)NCCCC(=O)NCCC1=CC=C(Cc2ccccc2)C1,-9.80
ADRB2,CN(CCCOc1cccc(CC(=O)O)c1)C(=O)c1ccc(O)cc1,-8.80
ADRB2,Cc1cc(O)c(C(N)=O)cc1NCCC(=O)N1CCCC1,-8.70
ADRB2,O=C(CCc1ccccc1)N1CCC[C@@H](NC[C@H](O)[C@H]2CCCN2)C1,-8.90
ADRB2,C[C@H](O)CCCCc1cnc(C2=CC(=O)C(c3ccccc3F)=C2)[nH]c1=O,-9.30
ADRB2,NC(=O)Nc1ccc2c(c1)C[C@H]1NCC[C@H]1C2,-7.90
ADRB2,Cc1cccc(NCCc2nocc2CCNC(N)=O)n1,-9.10
ADRB2,O=C1C=C(c2nc3cc(Cl)ccc3c(=O)[nH]2)C=C1Cc1cccc(F)c1,-11.20
ADRB2,NC(=O)NCCc1conc1CCNc1ccccc1,-8.90
ADRB2,NC(=O)NCCc1conc1CCNc1ccccn1,-8.80
ADRB2,C[C@H]1CCCN(C(=O)CC=Cc2cc(F)ccc2C2CCCCC2)C1,-9.40
ADRB2,O=C(CCc1ccccc1)N1CCC[C@@H](NC[C@H](O)[C@H]2CCCCN2)C1,-9.50
ADRB2,COC(=O)Nc1cc(F)c(F)c(CCCNC(N)=O)c1,-8.10
ADRB2,COc1cc(NCC[C@H](O)C2CCCCC2)c(C(F)(F)F)cc1O,-9.30
ADRB2,COc1ccc(F)c(OC)c1,-6.40
ADRB2,NCCCc1cccc(CO)c1,-6.70
ADRB2,C[C@@H]1CCN(C(=O)CCCC[C@H]2CCCC2=C2C=C(C(N)=O)CCC2)C1,-9.60
ADRB2,Nc1cc(-c2cnnc(-c3ccccc3)c2)ccn1,-8.60
ADRB2,Cc1ccc2c(C)cc(-c3cc(CCCCN)ccc3O)nc2c1,-9.40
ADRB2,CC(=O)NC(=O)N(C)CCCNc1cccc(-c2ccc(F)cc2O)c1,-10.20
ADRB2,Cc1c[nH]c(CCc2nocc2CCNC(N)=O)c1,-8.70
ADRB2,CNC(=O)c1cccc(C=O)c1,-7.20
ADRB2,CC(C)(C)NC(=O)CCNc1cccc(-c2ccc(F)c(O)c2O)c1,-9.60
ADRB2,C[C@H]1CC(=CCCC(N)=O)C[C@H]1CC[C@@H]1C=CC=CC1,-8.60
ADRB2,CO[C@@H]1CCN(C(=O)CCCN(C=CCNC(=O)c2ccccc2)C(=O)O)C1,-9.10
ADRB2,Cc1ccc(NCCc2nocc2CCNC(N)=O)nc1,-9.00
ADRB2,CNC(=O)C=C1CC[C@](C)(CCN[C@@H]2CCCN(C(=O)CCc3ccccc3)C2)C1,-9.60
ADRB2,NC(=O)NCCc1cccc(O)c1,-7.80
ADRB2,COCCN1CC[C@H](NC(=O)[C@H]2CC[C@@H](NCCc3ccc(F)cc3)C2)C1,-9.00
ADRB2,C[C@H](CNC(N)=O)c1ccc(O)c(NCC(=O)N2CCCCC2)c1,-9.40
ADRB2,Cc1occ(Cc2ccc(F)c(NCO[C@H]3CCOC(=CCO)C3)c2)c1F,-9.90
ADRB2,NC(=O)C1=CC(=C2CCC[C@@H]2CCCCC(=O)N2CC[C@@H](O)C2)CCC1,-9.40
ADRB2,O=C1C=C(c2ncc(CCCCCO)c(=O)[nH]2)C=C1c1cccc(F)c1F,-9.30
ADRB2,COc1ccc(OCCN)cc1NCCCN(C)C,-6.80
ADRB2,COC(=O)CCCCc1nc(O)c2ccc(C(F)(F)F)cc2n1,-9.00
ADRB2,OCC=Cc1cccc(O)c1,-7.00
ADRB2,CNCc1cccc(OCCCNC(C)C)c1,-7.80
ADRB2,O[C@H]1COc2cc(C(F)(F)F)ccc21,-7.60
ADRB2,Cc1nccc(NCCc2nocc2CCNC(N)=O)n1,-8.90
ADRB2,O=C(CCc1ccccc1)N1CCC[C@@H](NC[C@H](O)[C@H]2COCCN2)C1,-9.20
ADRB2,C[C@@H]1CCCN(CCC(=O)O)C1,-6.50
ADRB2,Cc1cc2nc(-c3cc(CCCCN)ccc3O)cc(C)c2cc1C,-9.70
ADRB2,C[C@@H](CCO)CNc1ccc(O)c(-c2cccc(O)c2)c1,-8.40
ADRB2,Cc1cncc(C)c1-c1cncc(-c2ccccc2F)c1,-7.90
ADRB2,COC=C1C[C@@H](OCNc2ccccc2)CCO1,-7.70
ADRB2,Cc1cc(-c2cnnc(-c3ccccc3)c2)ccn1,-8.80
ADRB2,O=C1C[C@H](O)CC2=C1[C@H]1CCC[C@@H](C2)C1,-7.90
ADRB2,O=C(O)c1ccccc1F,-6.60
ADRB2,Cc1cc(C)c2c(F)cc(-c3cc(CCCCN)ccc3O)nc2c1,-9.50
ADRB2,NCC=Cc1cccc(O)c1,-6.90
ADRB2,NC(=O)c1ccc(C(=O)O)cc1,-7.70
ADRB2,NC[C@@H]1COc2ccc(O)cc2C1,-7.00
ADRB2,O=C1C=C(c2ncc(CCCC[C@H]3CCNC3)c(=O)[nH]2)C=C1c1cccc(F)c1F,-10.00
ADRB2,CC(=O)Nc1ccc(O)c(OCCN[C@H]2CCCOC2)c1,-9.00
ADRB2,O=C1C=C(c2nc3c(CCCO)cccc3c(=O)[nH]2)C=C1Cc1ccon1,-9.50
ADRB2,C[C@@]1(O)CCN(C(=O)CCCN(C=CCNC(=O)c2ccccc2)C(=O)O)C1,-9.70
ADRB2,CN1CC(Cc2cccc(F)c2)=Cc2cnc(Nc3cc(C(N)=O)ccc3Cl)nc21,-9.90
ADRB2,c1ccc(-c2cnnc(-c3ccccc3)c2)cc1,-8.70
ADRB2,c1ccc(-c2cc(-c3ccncc3)cnn2)cc1,-8.20
ADRB2,CN1CCc2ccc(O)cc2C1=O,-6.70
ADRB2,CN(CCCOc1cccc(CC(=O)O)c1)c1cccc2ccccc12,-10.50
ADRB2,NC(=O)c1ccc(Cl)cc1,-6.70
ADRB2,Fc1ccccc1-c1cncc(-c2cncs2)c1,-7.90
ADRB2,CC1=CC=CCN1CCCOc1cc(C(N)=O)c(O)cc1CO,-8.60
ADRB2,O=C(O)Cc1ccc(O)c(NCC2CCNCC2)c1,-8.60
ADRB2,NC(=O)c1ccc(C(N)=O)c(CO)c1,-7.70
ADRB2,O=C(O)Cc1ccc(O)c(NC[C@@H]2CCCCN2)c1,-8.80
ADRB2,CCC(=O)OC[C@@H](CC)CCNCc1ccccc1,-7.70
ADRB2,O=C1C[C@@H](O)CC2=C1[C@H]1[C@H]3CC[C@@H](C2)[C@H]31,-7.80
ADRB2,OC1COc2ccccc2OC1,-6.00
ADRB2,CCCCCOC(=O)Nc1cc(F)c(F)c(CCCNC(N)=O)c1,-8.60
ADRB2,Fc1ccccc1-c1cncc(-c2ccccc2)c1,-9.10
ADRB2,NC(=O)c1ccco1,-5.50
ADRB2,CCCCCCNc1cc(OC)c(O)cc1C(F)(F)F,-7.60
ADRB2,NC(=O)c1ccc(C(=O)O)c(O)c1,-8.00
ADRB2,Nc1ccc(Cc2ccccc2)cc1O,-8.60
ADRB2,CC[C@H](CCNC(N)=O)CNCC1CCCCC1,-8.20
ADRB2,COC=C1C[C@@H](OCNc2cccc(CC(=O)NCc3ccccc3)c2)CCO1,-9.70
ADRB2,NCC=C1C[C@@H](OCNc2cccc(CC(=O)NC(=O)C3=CCCC3)c2)CCO1,-10.90
ADRB2,NCC=C1C[C@@H](OCNc2cccc(CC(=O)NC(=O)C3=CC=CC3)c2)CCO1,-10.10
ADRB2,CC[C@H](CCNC(N)=O)CNCC1CCN(C)CC1,-7.60
ADRB2,O=C(O)Cc1ccc(O)c(NCCN2CCNCC2)c1,-8.60
ADRB2,Nc1noc2cc(CO)c(O)cc12,-7.30
ADRB2,Nc1ccc(Cc2ccno2)cc1O,-7.30
ADRB2,CC[C@@H](CCCNCCC(C)(C)C)CCC(N)=O,-7.60
ADRB2,O=C1CCCC2=C1CC[C@H]1C[C@@H](C2)C1,-7.60
ADRB2,CCCC=CCNC(N)=O,-5.90
ADRB2,CC(C)(C)CCNC(=O)Cc1cccc(NCO[C@H]2CCOC(=CCN)C2)c1,-9.80
ADRB2,O=C(O)CCCc1cccc(NCC(=O)NC(=O)NCCc2ccccc2)c1,-10.00
ADRB2,CC(C)=Cc1cccnc1,-6.20
ADRB2,CCCCCNc1cc(CC(=O)NC)ccc1O,-7.90
ADRB2,CCOCCCCCOc1cc(C(N)=O)c(O)cc1CO,-7.70
ADRB2,C[C@H](CCC(N)=O)CNc1cccc(Cc2cc(-c3ccccc3)nnc2N)c1,-11.20
ADRB2,N=C(N)c1cccc([C@H]2CC(=O)N3c4cc(CC(=O)O)ccc4OC[C@H]3C2)c1,-8.40
ADRB2,C[C@@H](CCO)CNc1cc(-c2ccccc2F)c(O)cc1O,-7.90
ADRB2,CC1=CC=C2CNC(=O)C=C2C1,-7.70
ADRB2,CC(C)C[C@@H](C)NC(=O)Cc1cccc(NCO[C@H]2CCOC(=CCN)C2)c1,-9.50
ADRB2,NCCCCN1CC[C@H](NC(=O)[C@H]2CC[C@@H](NCCc3ccc(F)cc3)C2)C1,-9.20
ADRB2,NC=CCc1cc2c3c(ccc2c2cc(O)ccc12)CC[C@H]1CNCC[C@H]31,-9.90
ADRB2,CNCCCN1CC[C@H](NC(=O)[C@H]2CC[C@@H](NCCc3ccc(F)cc3)C2)C1,-9.30
ADRB2,Nc1nnc(-c2ccccc2)cc1Cc1cccc(NCc2ccccc2)c1,-11.90
ADRB2,O=C(O)CNCCc1cccc(C(=O)NCCO)c1,-8.00
ADRB2,NC(=O)NCCc1conc1CCNc1cccc(C=Cc2cnoc2)c1,-9.80
ADRB2,NC(=O)NC1=CC=C(CO)C1,-6.70
ADRB2,CC(C)CCO,-4.40
ADRB2,NC(=O)NCCc1conc1CCNc1cccc(C=Cc2ccoc2)c1,-10.00
ADRB2,CCCN1CCC[C@@H](C)C1,-5.50
ADRB2,CCCCNC[C@H](NC(C)=O)c1c(F)ccc(NC(=O)c2ccc(O)cc2F)c1F,-9.40
ADRB2,NC(=O)NCCc1conc1CCNc1cccc(C=Cc2ccccc2)c1,-10.60
ADRB2,Cc1ccc([N+](=O)[O-])c(F)c1,-7.20
ADRB2,CC(=O)N1CCOCC1,-5.10
ADRB2,CCCCNCCc1cc(C(=O)NCCO)ccc1CO,-7.40
ADRB2,CCCCCCC[C@H](C)CC=Nn1ccc2cc([C@@H](C)O)ccc21,-8.60
ADRB2,NC(=O)C[C@@H]1CCC(=O)N(CCNc2cc(C(F)(F)C(=O)O)ccc2O)C1,-9.70
ADRB2,CC(=O)Nc1ccc(O)c(OCCN[C@@H]2COC[C@@H](O)C2)c1,-9.40
ADRB2,CC1C=CC=C(CCNCC(=O)c2cccc(CNC(=O)CO)c2)C1=O,-9.80
ADRB2,O=C(O)Cc1ccc2c(O)nc(CCCC(=O)NCCCO)nc2c1,-8.50
ADRB2,O=[N+]([O-])c1cc2occc2cn1,-6.90
ADRB2,NC1=NC[C@@H](c2cccc(OCCCNCCO)c2)N1,-7.90
ADRB2,CC(=O)CC(=O)NC(=O)CCCC[C@H]1CCCC1=C1C=C(C(N)=O)CCC1,-9.10
ADRB2,NC(=O)CC[C@@H](CO)CNc1cccc(Cc2cc(-c3ccccc3)nnc2N)c1,-10.80
ADRB2,COC=C1C[C@@H](OCNc2cccc(CC(=O)NCc3cccc(O)c3)c2)CCO1,-10.90
ADRB2,Cn1cccc(CCNCC(=O)c2cccc(CNC(=O)CO)c2)c1=O,-9.70
ADRB2,OC1CCCC1,-4.60
ADRB2,NC(=O)NCCc1conc1CCNc1cccc(C=Cc2cocc2O)c1,-9.90
ADRB2,NC(=O)NCCc1conc1CCNc1cccc(C=Cc2conc2O)c1,-10.50
ADRB2,CCC(=O)OC[C@@H](CC)CCNCCCO,-6.30
ADRB2,CCOCNC(C)=O,-4.90
ADRB2,NCOCCN1CC[C@H](NC(=O)[C@H]2CC[C@@H](NCCc3ccc(F)cc3)C2)C1,-9.20
ADRB2,C[C@@H](O)c1ccc2c(ccn2N=CCC(=O)NCCC[C@@H](O)c2ccccc2O)c1,-9.90
ADRB2,CN(CCCOc1cccc(CC(=O)O)c1)c1ccccc1C=Cc1ccccc1,-9.90
ADRB2,c1ccncc1,-4.40
ADRB2,NC(=O)CCCNc1cc(-c2ccccc2F)c(O)cc1O,-8.60
ADRB2,OCCCCNc1cc(-c2ccccc2F)c(O)cc1O,-7.90
ADRB2,NCC(=O)O,-3.90
ADRB2,COC(=O)[C@H](O)CNC(=O)CCCC[C@H]1CCCC1=C1C=C(C(N)=O)CCC1,-9.00
ADRB2,NCC=C1C[C@@H](OCNc2cccc(CC(=O)NC(=O)C3=CC=C=C3N)c2)CCO1,-9.90
ADRB2,Cc1ccc2c(CC(=O)c3ccccc3O)cc3c4c(ccc3c2c1)CCN(C)C4,-10.60
ADRB2,CN(CCC(N)=O)C(=O)CCCN(C=CCNC(=O)c1ccccc1)C(=O)O,-8.80
ADRB2,O=C(CO)NCc1cccc(C(=O)CNCCC2=CC=C=CC2=O)c1,-9.60
ADRB2,Nc1c(F)ccc(-c2cccc(NCCCOCCCc3ccccc3)c2)c1F,-10.00
ADRB2,COc1ccc(OCCOCCO)cc1NCC(=O)N[C@H](C)c1ccncc1,-9.10
ADRB2,CCCCNCCc1cc(C(=O)NCCCN2CC[C@H](C)C2)ccc1CO,-8.80
ADRB2,CCN(CCCCOc1cccc(C(=O)NC)c1)C(=O)CCC(=O)OC,-8.70
ADRB2,CC(=O)Nc1ccc(O)c(OCCN[C@H](C)C=CC(=O)NCC(C)C)c1,-9.00
ADRB2,NC=CC(=O)c1c2c3c4c(ccc3c3cc(O)ccc13)CC[C@H]1CNCC(=C41)C2,-10.50
ADRB2,CCN(CCCCOc1cccc(C(=O)NC)c1)CCCC(=O)OC,-8.30
ADRB2,CC[C@@H](CCCCNCCCc1cccc(-c2ccccc2)c1)C(=O)NCCO,-9.60
ADRB2,CCNC(=N)NCCc1ccc2c(c1)cc([C@H]1C=CC=CC1)c1ccc(C)cc12,-10.10
ADRB2,CCCC[C@@H](C)CNC(=O)CN(CC)CCCCOc1cccc(C(=O)NC)c1,-9.40
ADRB2,CCCNCCCc1cc(C(=O)NCCC(=O)N2CC[C@H](O)C2)ccc1CO,-8.90
ADRB2,CNCCCNC(=O)CCCN(C=CCNC(=O)c1ccccc1)C(=O)O,-8.80
ADRB2,NC=NC1=NN=NC1,-5.50
ADRB2,CCCCNCCCc1cc(C(=O)NCCC(=O)N2CC[C@H](O)C2)ccc1CO,-9.10
ADRB2,CNC(=O)NCC[C@H](CO)CCCC[C@H](C)CC(=O)NC(=O)c1cccc(OC)c1,-9.60
ADRB2,CC[C@@H](CCCCNCCCc1cccc(-c2ccccc2)c1)C(=O)NCCCN,-9.30
ADRB2,O=C(CO)NCc1cccc(C(=O)CNCCc2cccc(CC3CCCC3)c2)c1,-10.70
ADRB2,CC(C)CCCc1cccc(CCNCC(=O)c2cccc(CNC(=O)CO)c2)c1,-10.00
ADRB2,NC(=O)CCCCCOCCCNc1cccc(-c2ccc(F)c(N)c2F)c1,-9.30
ADRB2,CC[C@@H](CCCC[C@H]1CCCC1=C1C=C(C(N)=O)CCC1)NCCC(=O)OC,-8.50
ADRB2,Nc1c(F)ccc(-c2cccc(NCCCOCCCCCC(=O)O)c2)c1F,-9.10
ADRB2,CCCCCNC(=O)CCNC(=O)c1ccc(CO)c(CCNCCCO)c1,-8.00
ADRB2,CCCCCNC(=O)CCNC(=O)c1ccc(CO)c(CCNNC2CCCC2)c1,-9.10
ADRB2,C[C@H](CCCCCCCCO)N[C@H]1CC[C@H](OCCCc2ccc(CN)cc2O)N1,-8.50
ADRB2,CCCCCNC(=O)CCNC(=O)c1ccc(CO)c(CCNNC(C)=O)c1,-8.90
ADRB2,CCCC=CC=CCOCCCNc1cccc(-c2ccc(F)c(N)c2F)c1,-9.30
ADRB2,CCCNNCCc1cc(C(=O)NCCC(=O)NCCCCC(=O)O)ccc1CO,-8.50
ALDH1,Cc1cccc(Oc2ccccc2OCCO)c1,-7.40
ALDH1,CNC(=O)[C@@H]1Cc2cccc(OC)c2CN1Cc1ccccc1,-8.70
